,Text,Scores,Classes,PredictedClass,TopScore
0,"Also: DeKalb County region on track to qualify for Phase 3 re-opening pending testing metrics By Daily Chronicle Mark Black for Shaw Media Caption Vehicles funnel into three testing bays at the Illinois run drive-through COVID-19 testing facility, managed by the Illinois National Guard, at the Chicago Premium Outlets mall in Aurora. The site quickly reached capacity within less than an hour on the second full day of operation in Aurora Apr. 24. Mark Busch – mbusch@shawmedia.com Caption Sam Cohn, a server at The Junction Eating Place, wipes down the counter Sunday at the eatery on West Lincoln Highway in DeKalb. Mark Busch file photo – mbusch@shawmedia.com Caption For the fourth time in the past five days, the DeKalb County Health Department has reported no new coronavirus cases locally, leaving the county as of Monday at 36, including one death. As a public service, Shaw Media will provide open access to information related to the COVID-19 (Coronavirus) emergency. Sign up for the newsletter here.  SYCAMORE – Nine more DeKalb County residents have tested positive for the novel coronavirus Monday, according to the DeKalb County Health Department , bringing the total to 193 positive cases reported to date..  New cases include another resident under 19, four in their 30s, two in their 40s, and one each in their 50s and 70s. In total, 68 have recovered as of Friday, and two residents have died..  Where we stand with Restore Illinois metrics.  According to newly updated Restore Illinois data which tracks testing, hospital and medical supply availability in regions to determine whether certain businesses and services throughout the state can begin to reopen, DeKalb County's region remains within certain criteria to move forward to Phase 3 of Gov. JB Pritzker's plan at the end of May..  Illinois is in Phase 2 of the five-phase plan. In particular, the North Central Region (which includes DeKalb County) is reporting an 8.96% positive rate, which falls under the threshold for positive cases which must be 20% or lower than the number of tests performed for a 14-day consecutive period. According to IDPH data, the region has been tracking that way since May 1..  In order to move to Phase 3, the region would also would need to go 28 days without an overall increase in COVID-19 hospital admissions, and have at least 14% of all hospital beds, ICU beds and ventilators available for surge capacity..  The region reports 41% of ICU beds are available and 60% of ventilators are available as of May 8, the most recent available data..  Other criteria to move forward to Phase 3, however, such as robust testing and contact tracing, are still unclear, as no guidelines have yet been laid out on metrics from the Illinois Department of Public Health..  Local COVID-cases, testing data.  Including the new cases, there have been nine COVID-19 occurrences in residents younger than age 19, and 37 in residents in their 20s, with 42 in their 30s, 41 in their 40s, 40 in their 50s, nine in their 60s, 13 in their 70s and two in their 80s..  The two deaths reported in the county were both men; one a resident in his 50s, announced April 6, and one in his 60s , announced Saturday..  The Illinois Department of Public Health lists cases and tests by ZIP code, while the county health department lists cases by municipality. The 60135 ZIP code, which includes Genoa, has 19 confirmed cases and 128 tests administered. The 60115 ZIP code went up to 66 cases and 678 tests, while the 60178 ZIP code has 22 confirmed cases and 308 tests..  As of Monday, a total of 79,007 cases have been confirmed statewide, with 3,459 deaths and 442,425 tests performed, according to the IDPH..  Data from the state health department released Sunday afternoon also shows that 1,563 COVID-19 tests have been conducted in DeKalb County (which has a population of about 105,000 according to the 2010 Census) to date. As of Friday, 1,393 of those tests have come back negative..  The city of DeKalb is reported to have between 66 and 70 cases. Sandwich has between 26 and 30 cases. Sycamore and Genoa each report between 21 and 25. Cortland reports between 16 and 20 cases, while Kingston is reported to have between six and 10 cases. Kirkland, Esmond, Malta, Maple Park, Hinckley, Shabbona, Somonauk and Waterman each report between one and five cases..  COVID-19 testing is being conducted at Northwestern Medicine health system hospitals and private lab facilities, including through Physicians Immediate Care and the Center for Family Health in Sycamore , which are prioritizing high-risk patients, first responders and health care workers and those experiencing severe symptoms. Related Links","[0.5070857405662537, 0.4929142892360687]","['positive', 'negative']",positive,0.5070857405662537
1,"The good news: Terry Link quit his job..  The bad news: Not fast enough..  Let’s review: On Aug. 13, federal prosecutors charged then-state Sen. Link, D-Indian Creek, with filing a false income tax return in 2016. Link had been in the senate since 1997, shortly before his 50th birthday. Five years earlier he won election as chairman of the Democratic Party of Lake County. He finished third in a 2013 mayoral primary in Waukegan, but continued to crusade for bringing a casino to the region and was chairman of the Senate Gaming Committee..  On the day the indictment dropped, Link resigned from the Legislative Ethics Commission. Soon thereafter he said he’d relinquish his county chairmanship on Sept. 15, but soon advanced that timetable once party leaders made it known they convene Aug. 31 to formally remove him..  The stated concern was clear: If Link quit the Senate after Sept. 11 but before Sept. 15, he could effectively name his replacement. Under current state law, a legislative resignation on Sept. 12 or later wouldn’t be put to voters — despite a looming election —because there are fewer than 28 months in Link’s term. That means party leaders in the district appoint a replacement, and Link held sufficient power given the 30th district is almost entirely north of Lake Cook Road..  (The 30th yin-yangs nicely with the 26th District of Sen. Dan McConchie, R-Hawthorn Woods. He and Link are practically neighbors relative to the far-flung nature of their constituents. But that’s all likely to change with the results of this year’s Census. Anyway…).  So Link left the county party earlier than originally promised. Good. But he retained his Senate seat. Bad. On Sept. 11 he formally announced he’d resign the next day. That wasn’t just a Saturday, it was the first day Link could quit without triggering a special election..  Former state Rep. Lauren Beth Gash now runs the county party. She’ll convene with state Rep. Mark Walker, also a Wheeling Township Democratic committeeman, and they’ll name Link’s replacement by Oct. 12. Gash’s GOP counterpart, Mark Shaw, released a blistering statement accusing Link and Gash of scheming, “While the rest of the nation was honoring the victims and heroes of 9/11 … to abuse Illinois State election law loopholes.”.  Strictly concerning timing, Shaw is right: this stinks for anyone who supports voter choice. Link is far from the first lawmaker to employ this strategy. All House vacancies are filled by partisan appointment, because the 1970 state Constitution framers apparently abhorred special elections..  While voters await an ethics commission’s legislative recommendations, here’s hoping addressing such loopholes is on the list. Link’s public days are over, but legislators will continue to follow this sketchy playbook..  • Scott T. Holland writes about state government issues for Shaw Media Illinois. Follow him on Twitter at @sth749. He can be reached at sholland@shawmedia.com. Get our Afternoon Update Newsletter We'll send you the latest headlines and in-depth stories weekday afternoons.","[0.5299054384231567, 0.4700945317745209]","['negative', 'positive']",negative,0.5299054384231567
2,"Small businesses are the heart of our neighborhoods. Jobs that are created by small businesses are what keep our communities thriving. My name is Chris Plywacz and I am the proud owner of Reeg Plumbing , a small business in the western suburbs. I’m not a millionaire, nor am I a billionaire. Far from it. SEND LETTERS TO: . Please include your neighborhood or hometown and a phone number for verification purposes. I started my career right after high school, entering the trades. I eventually was able to purchase the company I worked for with the help of the Obama Administration’s Small Business Administration loan program. I am very proud that I have grown this company and now help provide jobs for other people just like me. My employees work hard. They know they have good-paying jobs, and they provide safety and security for their families. I am very concerned about the graduated income tax amendment on the ballot on Nov. 3 and the potential negative effect on my business and employees. I am a Democrat, and I know the amendment is being pushed by our governor; but increasing taxes and the high cost of living in Illinois doesn’t have a political party. So, I did some research. First of all, Illinois already has some of the highest taxes in the country — and we rank second highest for property taxes. Our state already is losing people and businesses because of our high tax burden. If this constitutional amendment passes, even more people, businesses and jobs will leave our state. It’s important to note that Illinois has seen six straight years of population decline. That directly affects blue collar jobs like mine and the ones I provide. Now, what really gets me is that this initial tax hike immediately will affect more than 100,000 small business owners, but it increases the tax rate on large corporations by just 10 %. And there really is no real tax relief for working poor and middle-class families. In fact, it is less than $3 per month for someone making $25,000 a year. This amendment will give a big foot to Springfield politicians to step on small businesses like mine and diminish opportunities for us to create jobs or even expand our businesses. Larger employers that provide goods and services will be hit with even higher taxes; the products they produce will go up in cost. I will be paying more for the products I need for my plumbing company and will have to make up the difference in potentially cutting wages or even jobs — something I do not want to do. Many of my customers have left this state because of our taxes. And our future is not guaranteed, either. Taxes could go even higher, and taxing retirement income becomes a greater possibility. That is not what hard working men and women in this state want to hear. I was fortunate enough to be able to buy my business. If anyone, right now, is looking at starting a new small business in this state, and this graduated income tax amendment is looming, they are going to think twice. And, they may even go to another state. If we don’t stop this amendment, the future for small businesses like mine, is bleak. After years of tax hikes, people fleeing the state and trying to weather a pandemic, Illinois is on the brink of collapse. I can’t think of a worse time to raise taxes. Chris Plywacz, Reeg Plumbing","[0.6016096472740173, 0.3983902931213379]","['negative', 'positive']",negative,0.6016096472740173
3,"1 / 4 Goodbye, New York, California and Illinois. Hello … Where? (Bloomberg Opinion) -- New York, California and Illinois have been hemorrhaging residents. Almost 3.2 million more people left those states for elsewhere in the U.S. than arrived from other states, from 2010 through 2019, according to population estimates released last week by the Census Bureau. Nine other states saw net out-migration of more than 100,000 people over that period, but none really came close to the big three..  Thanks to 2 million more births than deaths and 1 million newcomers from other countries, California’s population still grew by about 2 million over this period, a gain that trailed only those of Texas and Florida. New York’s population grew but only slightly, while Illinois lost an estimated 159,751 people between 2010 and 2019. Yes, these are all big states, but New York and Illinois ranked second and third in net domestic migration as percentage of 2010 population, behind only Alaska (California ranked 13th)..  Where are all these people going? The Empire Center for Public Policy, a conservative Albany think tank, put together some estimates for New York based on data that the Internal Revenue Service gleans from tax returns. (The Census Bureau also releases data on state-to-state migration flows, but those are based on surveys with sometimes-large margins of error, so the IRS numbers are more reliable if less complete.) This inspired me to do the same for California and Illinois. Here are the Empire Center’s numbers for New York:.  The adjusted gross income of New York taxpayers who didn’t migrate averaged $88,940 from 2012 through 2018. Those who left for Florida, New Jersey, California and Connecticut made more money than that; those who moved to other states in the top 10 less, in some cases much less. By far the most affluent group of migrants from New York was the 1,309 taxpayers who moved to Wyoming, who had an average income of $179,014..  Here’s where Californians have been heading..  The adjusted gross income of California taxpayers who didn’t migrate averaged $84,641, and migrants to all of the top-10 states made less than that. Also notable in California’s case is that it experienced net inflows from about half the states, including New York and Illinois. It’s losing residents in huge numbers to nearby states, but still attracting people from the Northeast and Midwest..  Finally, here’s where Illinoisans (Illinoians?) have been going..  The adjusted gross income of Illinois taxpayers who didn’t migrate averaged $78,959. Illinois has been losing high-income residents (a lot of them retirees, one imagines) to Florida, middle-income residents to the South and West, and those with lower incomes to neighboring states. Also, the top two destinations for Illinois migrants are the top two for the nation as a whole, with Florida first, Texas second..  Domestic migration statistics are frequently cited as evidence of the failures of blue-state governance, in particular the higher taxes imposed by states that are losing lots of residents. There’s something to that — income-tax-free Florida sure is attracting a lot of affluent people from Illinois and New York, and a recent study of high-income California taxpayers concluded that a 2012 income tax increase there did in fact drive some away. But California, Illinois and New York have all experienced bigger per capita personal income gains than the nation as a whole since the beginning of 2010, and all saw taxpayers with incomes below $50,000 overrepresented among the leavers from 2011 through 2018. These departures may indicate failures of governance as well, but it’s a different set of governance failures, presumably related more to housing costs, commutes and job opportunities than taxes per se..  There also isn’t much evidence in the IRS data — yet — of an exodus of high-income taxpayers hit by the state-and-local-tax-deduction limits imposed by the 2017 tax bill. That is, the number of taxpayers with adjusted gross incomes of $200,000 or more leaving for other states actually fell in high-tax California, Connecticut, Illinois, New Jersey and New York from 2017 to 2018, the year the cap went into effect. Those who ended up with higher tax bills due to the change generally didn’t find out exactly how much higher until 2019, though, so it may just be too early to tell.","[0.5023202300071716, 0.49767979979515076]","['negative', 'positive']",negative,0.5023202300071716
4,"Sangamon saw its population decrease by 2,419, or 1.2 percent, over the last decade, according to a new analysis from Wirepoints.org that is based on U.S. Census Bureau data..  Sangamon recorded the 22nd largest loss among Illinois’ 102 counties during the years 2010 to 2018, Wirepoints reported. The county’s 2018 population was 195,348..  Statewide, only nine of the 102 counties gained residents during that time period. Illinois lost more people over that time than any other state, according to the analysis, and only three other states – West Virginia, Connecticut and Vermont – saw their populations contract since 2010..  Illinois’ total population declined by 100,000 during that time period, the study said. Wirepoints attributed the state’s population drop to high tax rates, declining home values, a public pension crisis and an overall lack of economic opportunities..  Downstate counties sustained the worst population losses per capita, since that region lost 120,000 residents from 2010 to 2018. Of the five collar counties, DuPage, Will and Kane recorded population gains, making that region the only growth area in the state, according to the study..  Many of the new collar county residents relocated from Cook County, Wirepoints reported. Numerically, Cook suffered the greatest population loss over the time period examined..  ---.  Illinois Counties’ Population Changes From 2010 to 2018.  County","[0.7003471851348877, 0.29965275526046753]","['negative', 'positive']",negative,0.7003471851348877
5,"Sangamon saw its population decrease by 2,419, or 1.2 percent, over the last decade, according to a new analysis from Wirepoints.org that is based on U.S. Census Bureau data..  Sangamon recorded the 22nd largest loss among Illinois’ 102 counties during the years 2010 to 2018, Wirepoints reported. The county’s 2018 population was 195,348..  Statewide, only nine of the 102 counties gained residents during that time period. Illinois lost more people over that time than any other state, according to the analysis, and only three other states – West Virginia, Connecticut and Vermont – saw their populations contract since 2010..  Illinois’ total population declined by 100,000 during that time period, the study said. Wirepoints attributed the state’s population drop to high tax rates, declining home values, a public pension crisis and an overall lack of economic opportunities..  Downstate counties sustained the worst population losses per capita, since that region lost 120,000 residents from 2010 to 2018. Of the five collar counties, DuPage, Will and Kane recorded population gains, making that region the only growth area in the state, according to the study..  Many of the new collar county residents relocated from Cook County, Wirepoints reported. Numerically, Cook suffered the greatest population loss over the time period examined..  ---.  Illinois Counties’ Population Changes From 2010 to 2018.  County","[0.7003471851348877, 0.29965275526046753]","['negative', 'positive']",negative,0.7003471851348877
6,"Remodeling how Illinois’ political districts are drawn is the key to addressing the “dark cloud” of ethical violations hovering over state government, House Republican leaders said Tuesday..  Communities are grouped “primarily for political advantage,” Dixon Republican Rep. Tom Demmer said, restricting residents’ ability to hold their legislators accountable..  “These political entrenchments — these situations in which politicians pick their voters instead of voters picking their politicians — had a chilling impact on our ability to debate the important issues of the day here in Springfield,” he added..  One of those is redistricting reform, an issue the House Republican caucus is prioritizing this session and has supported for years. It will “stop” the culture that enabled unscrupulous behavior by some lawmakers over the past year and “devastated the state,” Minority Leader Jim Durkin, from Western Springs, said..  Villa Park Democratic Sen. Tom Cullerton was formally accused by a federal grand jury of collecting a salary as well as health and pension benefits from a labor union for work he did not do. He has pleaded not guilty..  Federal officials charged former Rep. Luis Arroyo, a Chicago Democrat, with bribery, charges that led him to relinquish his post..  And former Sen. Martin Sandoval, a Democrat from Chicago, pleaded guilty to federal bribery and tax evasion charges in a federal court in Chicago on Tuesday. He resigned effective Jan. 1. × Former Illinois state Sen. Sandoval pleads guilty to bribery and tax fraud.  Changing the method by which political maps are drawn “is probably the most important way we can clean up corruption and the culture that has created this horrible situation in Illinois,” Durkin said..  All 44 House GOP members support a constitutional amendment that would remove politicians from deciding the boundaries of districts in favor of an 11-member commission tasked with drawing maps in a “fair, above-board way,” Demmer said. It would affect boundaries of districts drawn after the 2020 census..  “The proposal for fair maps has been out there for years, and it’s one of the most thoroughly-discussed issues we’ve seen,” he said..  House Republicans are also pushing for legislation reforming lawmaker behavior. Rep. Grant Wehlri, from Naperville, said those “common sense measures” include prohibiting representatives and senators from being lobbyists while in office, preventing them from immediately becoming lobbyists after leaving their post and increasing the economic interest information legislators have to disclose..  “If the Democrats finally wanted to get serious on holding themselves accountable and do what’s right for the people of Illinois, let’s move these pieces of legislation,” he said..  Durkin appeared to put the success of those changes, and others, on Democratic Gov. J.B. Pritzker..  “I think as leader of the party, he can get his members in line. That includes the (House) speaker (Chicago Democrat Michael Madigan) and also the president of the Senate (Oak Park Democrat Don Harmon) ...” he said..  His caucus is also planning to combat the “skyrocketing cost of property taxes” in Illinois, Rep. Dan Brady, R-Bloomington, said. ","[0.5316594243049622, 0.46834054589271545]","['negative', 'positive']",negative,0.5316594243049622
7,"Home price growth stalled last fall in the Chicago area..  The region’s single-family home values grew by 0.4 percent in November from a year earlier, according to the S&P CoreLogic Case-Shiller Indices released this morning. It was the third straight month of growth so slender it’s essentially flat: October’s figure was 0.5 percent; September’s was 0.6 percent..  In the index’s Chicago data going back to February 1988, there is no other span of three months when home prices grew by less than 1 percent, except when they were negative in years after the housing bust of the mid-2000s..  In the November report, Chicago’s home price growth was the weakest among the 20 major U.S. cities that the index tracks. In some months of 2019, both San Francisco and Seattle went negative as their overheated housing markets cooled off, but in November both were positive, with San Francisco’s prices up 0.5 percent and Seattle’s up 3.3 percent..  Nationwide, according to the index, home values were up 3.5 percent, or nearly nine times the Chicago figure. For much of 2018 and 2019, Chicago home price growth was running at about half the national rate: first in the 3 percent range when the nation was at 6, and in the cool-down that began in February 2019, Chicago was at around 1.5 percent when the nation was at 3..  The gap is wide between Chicago’s housing market and the nation’s. At the November index level, local values were about 13 percent below their September 2006 peak. Nationwide, home prices were about 15 percent above their old peak..  There’s a familiar litany of reasons for Chicago’s slowdown: population loss that slows demand for homes, decreasing the need to bid prices up; high property taxes and the uncertainty about how much more they’ll go up, which causes some homebuyers to curtail the price they pay in order to keep the total cost of homeownership from growing fast, and the lack of an economic boom like the tech business that has boosted home values in places like San Francisco and Seattle..  Note that the index lags behind market reports by Illinois Realtors, which last week released data showing a big increase in home prices in December. It’s likely Case-Shiller’s report that comes out in late February will show a similar change, although it may not be quite as steep an increase, as the two reports use different methodologies. The trade association reports the prices of all homes sold in a month, while the index compares individual homes to their past sale prices..  “Chicago is still seeing home prices rise, albeit at a softer pace compared to the nation’s largest markets,"" Bill Banfield, Quicken Loans chief risk officer, said in an email to Crain's after the data was released this morning. ""Directionally speaking, prices have been climbing for eight years, meaning buyers can capitalize on prices remaining under control now that interest rates are falling again.”.  Let's block ads! (Why?).  ""price"" - Google News.  January 28, 2020 at 11:14PM.  https://ift.tt/2O7j9zT.  Chicago home price growth flat, S&P CoreLogic Case-Shiller Indices show - Crain's Chicago Business.  ""price"" - Google News.  https://ift.tt/2WuCIFv.  Shoes Man Tutorial.  Pos News Update.  Meme Update.  Korean Entertainment News.  Japan News Update ","[0.5169710516929626, 0.48302897810935974]","['negative', 'positive']",negative,0.5169710516929626
8,"By Shirin Ali Medill Reports Thousands of people gathered in Grant Park on Saturday to march for climate change solutions, reproductive rights, LGBTQ rights and getting out the vote, issues highlighted at the annual Women’s March since the 2016 election of President Donald Trump..  Women’s March Chicago organized the event and estimated that 10,000 people participated this year. Despite rain and snow, marchers rallied with enthusiasm and zeal with their, chanting, hoisting homemade signs and wearing pink hats..  Jill Conrad drove more than 80 miles from Ottawa to attend and many people arrived from out of state. Conrad carried a vibrant blue banner that read “Any Functioning Adult 2020,” a message that garnered lots of thumbs up as people snapped picture. Conrad described the experience as one filled with “lots of good ideas.”.  Summing up the protest, she said “It was a great day” and the best part was seeing the unity among the marchers, she said. “It’s good to see people out here together, men and women, black, white, all of [us]. That was the high point.” About 10,000 people gathered in Grant Park for the fourth annual Women’s March on Jan. 18, the anniversary of the first march held in 2017 to protest the election of Donald Trump as president. The march signifies an effort to bring awareness to important issues such as immigration, voting rights and health care as well as reproductive rights. Women’s March Chicago organized the Jan. 18 march, which kicked off in Grant Park, crowding down Adams Street as marchers headed west from the park. During Chicago’s 2017 inaugural Women’s March, an estimated 250,000 people attended. Marchers and other attendees noticed the smaller crowd this year. Shaun Stephan, a vendor who has been selling women’s march merchandise since the movement’s inception, said he felt the cold, snowy weather contributed to the lowered participation. But the passion matched previous years, he said. “It’s still strong, and I think there’s a lot of passion and emotion when it comes to showing everybody’s here for women’s rights.” Despite 20-degree temperatures with a mix of rain and snow in the forecast, marchers came prepared. Dressed in hats, scarves, gloves and snow boots, they walked and chanted, “Donald Trump has got to go!” Marchers made their way to Federal Plaza at Adams and Clark Streets. Women’s March Chicago recognized five major concerns to address during this year’s march: the 2020 census, taking control of climate change, gun violence prevention, women’s health rights and getting out the vote. As marchers moved through the city, these issues along with many others carried their weight with lots of handmade signs, banners and chants. Chicago police lined the route, some riding horses or bikes and some on foot, helping to guide traffic and marchers. Mother-daughter duo Katie and Heidi Ramirez made the trek from the western suburbs to participate in this year’s women’s march. They said they are marching for a host of issues including climate change, female reproductive rights, voting rights and immigration reform. They handmade custom ponchos to match their homemade signs. Chicago native Ellen Pinkham has attended the women’s march since its inception in 2017. She marches with her Trump puppet every year. She said she supports the current impeachment effort against the president and was marching for more change in Washington. “We really need new people in the government, we just have to get rid of these people who do not have the best interests of the large majority of people of the country at heart.” From left to right: Debbie Cavult, of Kildeer; Samantha Saunders, of Elmwood Park; Sheil Davis, of Kildeer, and Marietta Sorendo, of Bloomingdale all marched together and were thrilled to be a part of the movement. They felt the march created a strong sense of community. “Sometimes when you’re alone in the suburbs you think, ‘Oh, everybody’s Republican, everybody likes this idiot.’ But here, you can feel like you’re part of a group.” From right to left: Isabella Murk, 20, Sophie Murk, 24, Rachael Caise, 29, Emma Faith, 22, and Alissa Pienkowski, 30, were all young, first-time marchers at this year’s event. They expressed their excitement at participating in the movement and drawing together with the crowd, Demonstrators from the organization Refuse Fascism wrap up their banner at Federal Plaza as the march comes to a close. Women’s March Chicago has organized four mass marches to date. It’s mission is to advocate for women’s rights, promote intersectional feminism and challenge the political system regarding issues affecting women. Women’s March Chicago is planning its next event in March, to get out the vote for the Illinois primary elections. Photo at top: Thousands of supporters attended Women’s March Chicago’s annual march on Saturday, January 18, carrying homemade signs that highlighted a variety of issues. (Shirin Ali/MEDILL) Share:","[0.503690242767334, 0.49630972743034363]","['positive', 'negative']",positive,0.503690242767334
9,"Illinois collected $5.4 billion in individual income taxes during the 2nd quarter of 2019, according to the U.S. Census Bureau’s Quarterly Summary of State and Local Taxes..  Individual income taxes are based on net personal income and taxes imposed on such income as dividends, interest and income from intangibles..  In addition to detailed tax revenue data from each state, the Quarterly Summary of State and Local Government Tax Revenue includes an estimate of state and local government tax revenue at a national level..  The Census Bureau cautions that it sets the tax classifications among the survey categories, and they may differ from the classifications set by the state governments..  Overall, Illinois collected $12.6 billion in combined tax revenues in Q2. 2nd Quarter Illinois Tax Collections Type of Tax Amount (in millions of dollars) Property Taxes Sales and Gross Receipts Taxes $4,945","[0.5831377506256104, 0.41686221957206726]","['negative', 'positive']",negative,0.5831377506256104
